Time (s),Voltage (V),Current (A),Temp (C),SoC
755.41,9.95,0.74,25.0,69.0
756.49,9.93,0.76,25.0,69.0
757.57,9.92,0.72,25.0,68.9
758.66,9.93,0.78,25.0,68.9
759.74,9.96,0.78,25.0,68.8
760.82,9.92,0.77,25.0,68.8
761.9,9.93,0.76,25.0,68.8
762.99,9.91,0.76,25.0,68.7
764.07,9.9,0.77,25.0,68.7
765.15,9.91,0.75,25.0,68.6
766.23,9.93,0.76,25.0,68.6
767.32,9.94,0.77,25.0,68.5
768.4,9.91,0.77,25.0,68.5
769.48,9.9,0.76,25.0,68.4
770.56,9.95,0.73,25.0,68.4
771.64,9.89,0.77,25.0,68.4
772.72,9.88,0.74,25.0,68.3
773.81,9.92,0.72,25.0,68.3
774.89,9.93,0.75,25.0,68.2
775.97,9.95,0.76,25.0,68.2
777.05,9.95,0.75,25.0,68.1
778.14,9.9,0.77,25.0,68.1
779.22,9.93,0.75,25.0,68.0
780.3,9.92,0.75,25.0,68.0
781.38,9.9,0.77,25.0,68.0
782.47,9.92,0.75,25.0,67.9
783.55,9.94,0.77,25.0,67.9
784.63,9.92,0.76,25.0,67.8
785.71,9.9,0.76,25.0,67.8
786.79,9.94,0.75,25.0,67.7
787.88,9.91,0.77,25.0,67.7
788.96,9.92,0.76,25.0,67.6
790.04,9.96,0.77,25.0,67.6
791.12,9.9,0.77,25.0,67.6
792.21,9.91,0.76,25.0,67.5
793.29,9.91,0.75,25.0,67.5
794.37,9.92,0.74,25.0,67.4
795.45,9.96,0.75,25.0,67.4
796.53,9.93,0.76,25.0,67.3
797.62,9.92,0.76,25.0,67.3
798.7,9.92,0.75,25.0,67.2
799.78,9.92,0.76,25.0,67.2
800.86,9.88,0.74,25.0,67.2
801.95,9.91,0.75,25.0,67.1
803.03,9.91,0.75,25.0,67.1
804.11,9.95,0.73,25.0,67.0
805.19,9.92,0.75,25.0,67.0
806.28,9.93,0.74,25.0,66.9
807.36,9.91,0.75,25.0,66.9
808.44,9.92,0.77,25.0,66.8
809.52,9.93,0.75,25.0,66.8
810.6,9.94,0.77,25.0,66.8
811.69,9.91,0.75,25.0,66.7
812.77,9.96,0.76,25.0,66.7
813.85,9.95,0.73,25.0,66.6
814.94,9.94,0.75,25.0,66.6
816.02,9.91,0.79,25.0,66.5
817.1,9.9,0.74,25.0,66.5
818.18,9.95,0.73,25.0,66.4
819.26,9.91,0.75,25.0,66.4
820.34,9.91,0.73,25.0,66.4
821.43,9.85,0.71,25.0,66.3
822.51,9.92,0.73,25.0,66.3
823.59,9.95,0.75,25.0,66.2
824.67,9.9,0.73,25.0,66.2
825.76,9.93,0.74,25.0,66.1
826.84,9.93,0.73,25.0,66.1
827.92,9.93,0.72,25.0,66.0
829.0,9.92,0.76,25.0,66.0
830.09,9.9,0.74,25.0,66.0
831.16,9.88,0.74,25.0,65.9
832.25,9.91,0.75,25.0,65.9
833.33,9.9,0.72,25.0,65.8
834.41,9.91,0.75,25.0,65.8
835.49,9.91,0.73,25.0,65.7
836.58,9.92,0.71,25.0,65.7
837.66,9.91,0.71,25.0,65.6
838.74,9.92,0.73,25.0,65.6
839.82,9.92,0.77,25.0,65.6
840.91,9.91,0.76,25.0,65.5
841.99,9.89,0.73,25.0,65.5
843.07,9.95,0.76,25.0,65.4
844.15,9.91,0.7,25.0,65.4
845.24,9.86,0.71,25.0,65.3
846.32,9.91,0.72,25.0,65.3
847.4,9.89,0.71,25.0,65.2
848.48,9.89,0.75,25.0,65.2
849.57,9.85,0.74,25.0,65.2
850.65,9.88,0.72,25.0,65.1
851.73,9.9,0.73,25.0,65.1
852.81,9.94,0.74,25.0,65.0
853.9,9.9,0.73,25.0,65.0
854.98,9.88,0.73,25.0,64.9
856.06,9.89,0.75,25.0,64.9
857.14,9.93,0.75,25.0,64.8
858.22,9.88,0.75,25.0,64.8
859.3,9.91,0.75,25.0,64.8
860.39,9.9,0.74,25.0,64.7
861.47,9.87,0.73,25.0,64.7
862.55,9.86,0.71,25.0,64.6
863.63,9.95,0.75,25.0,64.6
864.72,9.9,0.73,25.0,64.5
865.8,9.89,0.74,25.0,64.5
866.88,9.9,0.75,25.0,64.4
867.96,9.91,0.74,25.0,64.4
869.05,9.87,0.72,25.0,64.4
870.13,9.9,0.72,25.0,64.3
871.21,9.92,0.73,25.0,64.3
872.29,9.86,0.72,25.0,64.2
873.37,9.87,0.73,25.0,64.2
874.46,9.89,0.74,25.0,64.1
875.54,9.9,0.73,25.0,64.1
876.62,9.88,0.73,25.0,64.0
877.7,9.88,0.73,25.0,64.0
878.78,9.9,0.73,25.0,64.0
879.87,9.92,0.75,25.0,63.9
880.95,9.9,0.75,25.0,63.9
882.03,9.88,0.76,25.0,63.8
883.11,9.86,0.73,25.0,63.8
884.2,9.88,0.73,25.0,63.7
885.28,9.86,0.75,25.0,63.7
886.36,9.88,0.75,25.0,63.6
887.44,9.86,0.75,25.0,63.6
888.53,9.86,0.74,25.0,63.6
889.61,9.87,0.73,25.0,63.5
890.69,9.88,0.71,25.0,63.5
891.77,9.88,0.72,25.0,63.4
892.85,9.89,0.73,25.0,63.4
893.94,9.88,0.73,25.0,63.3
895.02,9.9,0.74,25.0,63.3
896.1,9.88,0.75,25.0,63.2
897.18,9.89,0.74,25.0,63.2
898.27,9.91,0.72,25.0,63.2
899.35,9.92,0.75,25.0,63.1
900.43,9.9,0.75,25.0,63.1
901.51,9.9,0.74,25.0,63.0
902.59,9.89,0.73,25.0,63.0
903.68,9.87,0.74,25.0,62.9
904.76,9.85,0.73,25.0,62.9
905.84,9.86,0.74,25.0,62.8
906.92,9.86,0.72,25.0,62.8
908.01,9.9,0.73,25.0,62.8
909.09,9.86,0.75,25.0,62.7
910.17,9.89,0.74,25.0,62.7
911.25,9.88,0.75,25.0,62.6
912.34,9.86,0.74,25.0,62.6
913.42,9.88,0.72,25.0,62.5
914.5,9.87,0.72,25.0,62.5
915.58,9.85,0.72,25.0,62.4
916.66,9.86,0.73,25.0,62.4
917.74,9.86,0.74,25.0,62.4
918.83,9.87,0.74,25.0,62.3
919.91,9.84,0.71,25.0,62.3
920.99,9.84,0.72,25.0,62.2
922.07,9.85,0.76,25.0,62.2
923.16,9.88,0.74,25.0,62.1
924.23,9.87,0.73,25.0,62.1
925.32,9.87,0.73,25.0,62.0
926.4,9.87,0.76,25.0,62.0
927.48,9.88,0.74,25.0,62.0
928.57,9.89,0.72,25.0,61.9
929.65,9.88,0.74,25.0,61.9
930.73,9.86,0.75,25.0,61.8
931.81,9.88,0.76,25.0,61.8
932.89,9.86,0.75,25.0,61.7
933.98,9.86,0.74,25.0,61.7
935.06,9.83,0.73,25.0,61.6
936.14,9.87,0.73,25.0,61.6
937.22,9.9,0.74,25.0,61.6
938.31,9.87,0.73,25.0,61.5
939.39,9.87,0.76,25.0,61.5
940.47,9.91,0.75,25.0,61.4
941.55,9.87,0.76,25.0,61.4
942.63,9.84,0.74,25.0,61.3
943.71,9.84,0.74,25.0,61.3
944.8,9.87,0.74,25.0,61.2
945.88,9.84,0.73,25.0,61.2
946.96,9.86,0.75,25.0,61.2
948.04,9.85,0.73,25.0,61.1
949.13,9.85,0.74,25.0,61.1
950.21,9.86,0.73,25.0,61.0
951.29,9.85,0.71,25.0,61.0
952.37,9.87,0.74,25.0,60.9
953.46,9.87,0.72,25.0,60.9
954.54,9.83,0.74,25.0,60.8
955.62,9.83,0.76,25.0,60.8
956.7,9.87,0.72,25.0,60.8
957.78,9.87,0.74,25.0,60.7
958.86,9.88,0.72,25.0,60.7
959.95,9.88,0.74,25.0,60.6
961.03,9.87,0.74,25.0,60.6
962.11,9.85,0.74,25.0,60.5
963.2,9.85,0.75,25.0,60.5
964.28,9.83,0.73,25.0,60.4
965.36,9.85,0.73,25.0,60.4
966.44,9.85,0.73,25.0,60.4
967.52,9.85,0.76,25.0,60.3
968.61,9.85,0.75,25.0,60.3
969.69,9.91,0.74,25.0,60.2
970.77,9.84,0.72,25.0,60.2
971.85,9.81,0.75,25.0,60.1
972.94,9.83,0.73,25.0,60.1
974.02,9.84,0.71,25.0,60.0
975.1,9.85,0.72,25.0,60.0
976.18,9.87,0.71,25.0,60.0
977.27,9.86,0.73,25.0,59.9
978.34,9.84,0.73,25.0,59.9
979.43,9.84,0.72,25.0,59.8
980.51,9.86,0.73,25.0,59.8
981.59,9.87,0.72,25.0,59.7
982.67,9.86,0.74,25.0,59.7
983.76,9.85,0.74,25.0,59.6
984.84,9.85,0.75,25.0,59.6
985.92,9.84,0.72,25.0,59.6
987.0,9.85,0.73,25.0,59.5
988.09,9.88,0.73,25.0,59.5
989.17,9.85,0.73,25.0,59.4
990.25,9.86,0.73,25.0,59.4
991.33,9.82,0.74,25.0,59.3
992.42,9.86,0.74,25.0,59.3
993.5,9.83,0.73,25.0,59.2
994.58,9.83,0.74,25.0,59.2
995.66,9.84,0.74,25.0,59.2
996.75,9.86,0.73,25.0,59.1
997.83,9.85,0.73,25.0,59.1
998.91,9.85,0.74,25.0,59.0
999.99,9.86,0.73,25.0,59.0
1001.07,9.86,0.76,25.0,58.9
1002.16,9.84,0.75,25.0,58.9
1003.24,9.85,0.76,25.0,58.8
1004.32,9.86,0.74,25.0,58.8
1005.4,9.9,0.73,25.0,58.8
1006.48,9.86,0.73,25.0,58.7
1007.57,9.86,0.74,25.0,58.7
1008.65,9.83,0.74,25.0,58.6
1009.73,9.81,0.73,25.0,58.6
1010.81,9.85,0.72,25.0,58.5
1011.9,9.83,0.74,25.0,58.5
1012.98,9.87,0.75,25.0,58.4
1014.06,9.85,0.76,25.0,58.4
1015.14,9.81,0.76,25.0,58.4
1016.23,9.85,0.75,25.0,58.3
1017.31,9.83,0.73,25.0,58.3
1018.39,9.84,0.73,25.0,58.2
1019.47,9.86,0.73,25.0,58.2
1020.56,9.83,0.72,25.0,58.1
1021.64,9.83,0.74,25.0,58.1
1022.72,9.84,0.72,25.0,58.0
1023.8,9.84,0.73,25.0,58.0
1024.88,9.86,0.74,25.0,58.0
1025.97,9.84,0.71,25.0,57.9
1027.05,9.84,0.72,25.0,57.9
1028.13,9.86,0.74,25.0,57.8
1029.21,9.84,0.72,25.0,57.8
1030.29,9.86,0.76,25.0,57.7
1031.38,9.84,0.74,25.0,57.7
1032.46,9.84,0.74,25.0,57.6
1033.54,9.85,0.73,25.0,57.6
1034.62,9.83,0.71,25.0,57.6
1035.71,9.87,0.7,25.0,57.5
1036.79,9.85,0.73,25.0,57.5
1037.87,9.82,0.74,25.0,57.4
1038.95,9.86,0.73,25.0,57.4
1040.04,9.84,0.7,25.0,57.3
1041.12,9.83,0.73,25.0,57.3
1042.2,9.86,0.73,25.0,57.2
1043.28,9.82,0.71,25.0,57.2
1044.36,9.83,0.71,25.0,57.2
1045.44,9.84,0.72,25.0,57.1
1046.53,9.81,0.71,25.0,57.1
1047.61,9.84,0.72,25.0,57.0
1048.69,9.83,0.73,25.0,57.0
1049.78,9.83,0.73,25.0,56.9
1050.86,9.84,0.74,25.0,56.9
1051.94,9.82,0.73,25.0,56.8
1053.02,9.84,0.74,25.0,56.8
1054.1,9.85,0.73,25.0,56.8
1055.19,9.83,0.75,25.0,56.7
1056.27,9.85,0.74,25.0,56.7
1057.35,9.83,0.75,25.0,56.6
1058.43,9.84,0.71,25.0,56.6
1059.52,9.83,0.73,25.0,56.5
1060.59,9.83,0.74,25.0,56.5
1061.68,9.84,0.74,25.0,56.4
1062.76,9.83,0.74,25.0,56.4
1063.84,9.84,0.74,25.0,56.4
1064.93,9.81,0.74,25.0,56.3
1066.01,9.81,0.74,25.0,56.3
1067.09,9.81,0.73,25.0,56.2
1068.17,9.83,0.73,25.0,56.2
1069.25,9.85,0.74,25.0,56.1
1070.34,9.86,0.73,25.0,56.1
1071.42,9.81,0.73,25.0,56.0
1072.5,9.82,0.72,25.0,56.0
1073.58,9.84,0.73,25.0,56.0
1074.67,9.82,0.72,25.0,55.9
1075.75,9.83,0.72,25.0,55.9
1076.83,9.8,0.73,25.0,55.8
1077.91,9.85,0.73,25.0,55.8
1079.0,9.77,0.75,25.0,55.7
1080.08,9.83,0.73,25.0,55.7
1081.16,9.82,0.74,25.0,55.6
1082.24,9.85,0.75,25.0,55.6
1083.32,9.83,0.76,25.0,55.6
1084.41,9.82,0.71,25.0,55.5
1085.49,9.8,0.72,25.0,55.5
1086.57,9.8,0.72,25.0,55.4
1087.65,9.79,0.73,25.0,55.4
1088.73,9.85,0.73,25.0,55.3
1089.82,9.78,0.72,25.0,55.3
1090.9,9.85,0.76,25.0,55.2
1091.98,9.84,0.74,25.0,55.2
1093.06,9.84,0.73,25.0,55.2
1094.15,9.8,0.73,25.0,55.1
1095.23,9.82,0.76,25.0,55.1
1096.31,9.81,0.74,25.0,55.0
1097.39,9.85,0.73,25.0,55.0
1098.47,9.81,0.73,25.0,54.9
1099.56,9.81,0.72,25.0,54.9
1100.64,9.82,0.71,25.0,54.8
1101.72,9.81,0.73,25.0,54.8
1102.8,9.8,0.73,25.0,54.8
1103.89,9.86,0.74,25.0,54.7
1104.97,9.8,0.73,25.0,54.7
1106.05,9.81,0.74,25.0,54.6
1107.13,9.84,0.73,25.0,54.6
1108.21,9.84,0.72,25.0,54.5
1109.3,9.82,0.71,25.0,54.5
1110.38,9.82,0.73,25.0,54.4
1111.46,9.83,0.74,25.0,54.4
1112.54,9.82,0.72,25.0,54.4
1113.63,9.84,0.73,25.0,54.3
1114.71,9.86,0.73,25.0,54.3
1115.79,9.78,0.73,25.0,54.2
1116.87,9.79,0.73,25.0,54.2
1117.96,9.81,0.72,25.0,54.1
1119.04,9.8,0.74,25.0,54.1
1120.12,9.79,0.73,25.0,54.0
1121.2,9.81,0.73,25.0,54.0
1122.29,9.81,0.73,25.0,54.0
1123.36,9.84,0.73,25.0,53.9
1124.45,9.81,0.73,25.0,53.9
1125.53,9.8,0.73,25.0,53.8
1126.61,9.81,0.74,25.0,53.8
1127.69,9.8,0.74,25.0,53.7
1128.78,9.77,0.72,25.0,53.7
1129.86,9.85,0.73,25.0,53.6
1130.94,9.82,0.76,25.0,53.6
1132.02,9.81,0.72,25.0,53.6
1133.11,9.84,0.74,25.0,53.5
1134.19,9.81,0.74,25.0,53.5
1135.27,9.81,0.72,25.0,53.4
1136.35,9.81,0.74,25.0,53.4
1137.44,9.79,0.73,25.0,53.3
1138.52,9.82,0.73,25.0,53.3
1139.6,9.81,0.77,25.0,53.2
1140.68,9.83,0.74,25.0,53.2
1141.77,9.79,0.75,25.0,53.2
1142.84,9.81,0.77,25.0,53.1
1143.93,9.79,0.75,25.0,53.1
1145.01,9.81,0.72,25.0,53.0
1146.09,9.8,0.71,25.0,53.0
1147.18,9.81,0.73,25.0,52.9
1148.26,9.82,0.73,25.0,52.9
1149.34,9.82,0.74,25.0,52.8
1150.42,9.79,0.74,25.0,52.8
1151.5,9.79,0.73,25.0,52.8
1152.59,9.79,0.73,25.0,52.7
1153.67,9.79,0.74,25.0,52.7
1154.75,9.79,0.73,25.0,52.6
1155.83,9.8,0.73,25.0,52.6
1156.92,9.78,0.74,25.0,52.5
1158.0,9.77,0.73,25.0,52.5
1159.08,9.79,0.78,25.0,52.4
1160.16,9.79,0.75,25.0,52.4
1161.25,9.77,0.73,25.0,52.4
1162.33,9.77,0.73,25.0,52.3
1163.41,9.78,0.74,25.0,52.3
1164.49,9.81,0.76,25.0,52.2
1165.57,9.81,0.78,25.0,52.2
1166.66,9.77,0.76,25.0,52.1
1167.74,9.78,0.74,25.0,52.1
1168.82,9.8,0.72,25.0,52.0
1169.9,9.83,0.74,25.0,52.0
1170.98,9.81,0.75,25.0,52.0
1172.07,9.79,0.73,25.0,51.9
1173.15,9.78,0.75,25.0,51.9
1174.23,9.77,0.74,25.0,51.8
1175.31,9.78,0.74,25.0,51.8
1176.4,9.78,0.73,25.0,51.7
1177.48,9.79,0.74,25.0,51.7
1178.56,9.79,0.75,25.0,51.6
1179.64,9.8,0.73,25.0,51.6
1180.73,9.81,0.74,25.0,51.6
1181.81,9.82,0.75,25.0,51.5
1182.89,9.79,0.76,25.0,51.5
1183.97,9.78,0.75,25.0,51.4
1185.06,9.8,0.74,25.0,51.4
1186.14,9.78,0.75,25.0,51.3
1187.22,9.77,0.74,25.0,51.3
1188.3,9.77,0.76,25.0,51.2
1189.39,9.77,0.74,25.0,51.2
1190.46,9.81,0.76,25.0,51.2
1191.55,9.79,0.75,25.0,51.1
1192.63,9.79,0.75,25.0,51.1
1193.71,9.78,0.76,25.0,51.0
1194.8,9.75,0.73,25.0,51.0
1195.88,9.8,0.75,25.0,50.9
1196.96,9.78,0.76,25.0,50.9
1198.04,9.77,0.74,25.0,50.8
1199.12,9.77,0.73,25.0,50.8
1200.21,9.77,0.74,25.0,50.8
1201.29,9.78,0.71,25.0,50.7
1202.37,9.78,0.73,25.0,50.7
1203.45,9.79,0.76,25.0,50.6
1204.54,9.77,0.74,25.0,50.6
1205.62,9.76,0.75,25.0,50.5
1206.7,9.82,0.74,25.0,50.5
1207.78,9.79,0.75,25.0,50.4
1208.87,9.78,0.73,25.0,50.4
1209.95,9.79,0.72,25.0,50.4
1211.03,9.78,0.72,25.0,50.3
1212.11,9.78,0.75,25.0,50.3
1213.19,9.75,0.73,25.0,50.2
1214.28,9.79,0.73,25.0,50.2
1215.36,9.78,0.73,25.0,50.1
1216.44,9.77,0.73,25.0,50.1
1217.52,9.77,0.74,25.0,50.0
1218.6,9.78,0.75,25.0,50.0
1219.69,9.78,0.76,25.0,50.0
1220.77,9.75,0.74,25.0,49.9
1221.85,9.79,0.74,25.0,49.9
1222.93,9.79,0.74,25.0,49.8
1224.02,9.75,0.71,25.0,49.8
1225.1,9.78,0.71,25.0,49.7
1226.18,9.74,0.73,25.0,49.7
1227.26,9.78,0.74,25.0,49.6
1228.35,9.77,0.74,25.0,49.6
1229.43,9.77,0.72,25.0,49.6
1230.51,9.76,0.71,25.0,49.5
1231.59,9.78,0.72,25.0,49.5
1232.68,9.78,0.75,25.0,49.4
1233.76,9.77,0.75,25.0,49.4
1234.84,9.77,0.72,25.0,49.3
1235.92,9.77,0.72,25.0,49.3
1237.01,9.76,0.73,25.0,49.2
1238.08,9.76,0.73,25.0,49.2
1239.17,9.78,0.73,25.0,49.2
1240.25,9.78,0.72,25.0,49.1
1241.33,9.79,0.71,25.0,49.1
1242.42,9.78,0.74,25.0,49.0
1243.5,9.77,0.72,25.0,49.0
1244.58,9.76,0.75,25.0,48.9
1245.66,9.77,0.77,25.0,48.9
1246.74,9.78,0.72,25.0,48.8
1247.83,9.78,0.73,25.0,48.8
1248.91,9.79,0.77,25.0,48.8
1249.99,9.78,0.76,25.0,48.7
1251.07,9.76,0.74,25.0,48.7
1252.16,9.78,0.76,25.0,48.6
1253.24,9.77,0.74,25.0,48.6
1254.32,9.76,0.73,25.0,48.5
1255.4,9.76,0.73,25.0,48.5
1256.48,9.77,0.74,25.0,48.4
1257.57,9.77,0.72,25.0,48.4
1258.65,9.76,0.72,25.0,48.4
1259.73,9.77,0.72,25.0,48.3
1260.81,9.79,0.74,25.0,48.3
1261.9,9.79,0.75,25.0,48.2
1262.98,9.8,0.74,25.0,48.2
1264.06,9.75,0.75,25.0,48.1
1265.14,9.76,0.72,25.0,48.1
1266.22,9.75,0.74,25.0,48.0
1267.31,9.75,0.75,25.0,48.0
1268.39,9.75,0.74,25.0,48.0
1269.47,9.77,0.71,25.0,47.9
1270.55,9.77,0.73,25.0,47.9
1271.64,9.78,0.72,25.0,47.8
1272.72,9.78,0.74,25.0,47.8
1273.8,9.77,0.74,25.0,47.7
1274.88,9.77,0.74,25.0,47.7
1275.97,9.77,0.73,25.0,47.6
1277.05,9.76,0.74,25.0,47.6
1278.13,9.75,0.73,25.0,47.6
1279.21,9.75,0.74,25.0,47.5
1280.3,9.77,0.72,25.0,47.5
1281.38,9.76,0.74,25.0,47.4
1282.46,9.76,0.74,25.0,47.4
1283.54,9.75,0.73,25.0,47.3
1284.63,9.75,0.72,25.0,47.3
1285.7,9.75,0.73,25.0,47.2
1286.79,9.75,0.73,25.0,47.2
1287.87,9.76,0.7,25.0,47.2
1288.95,9.75,0.73,25.0,47.1
1290.04,9.74,0.73,25.0,47.1
1291.12,9.75,0.73,25.0,47.0
1292.2,9.74,0.73,25.0,47.0
1293.28,9.76,0.75,25.0,46.9
1294.36,9.75,0.72,25.0,46.9
1295.45,9.77,0.74,25.0,46.8
1296.53,9.74,0.74,25.0,46.8
1297.61,9.76,0.74,25.0,46.8
1298.69,9.74,0.74,25.0,46.7
1299.78,9.75,0.75,25.0,46.7
1300.86,9.73,0.71,25.0,46.6
1301.94,9.75,0.74,25.0,46.6
1303.02,9.75,0.72,25.0,46.5
1304.11,9.77,0.72,25.0,46.5
1305.19,9.77,0.72,25.0,46.4
1306.27,9.77,0.74,25.0,46.4
1307.35,9.77,0.73,25.0,46.4
1308.44,9.74,0.74,25.0,46.3
1309.52,9.74,0.73,25.0,46.3
1310.6,9.75,0.75,25.0,46.2
1311.68,9.74,0.71,25.0,46.2
1312.76,9.8,0.74,25.0,46.1
1313.84,9.75,0.74,25.0,46.1
1314.93,9.74,0.71,25.0,46.0
1316.01,9.75,0.73,25.0,46.0
1317.09,9.76,0.74,25.0,46.0
1318.18,9.75,0.71,25.0,45.9
1319.26,9.76,0.72,25.0,45.9
1320.34,9.75,0.72,25.0,45.8
1321.42,9.77,0.75,25.0,45.8
1322.5,9.74,0.74,25.0,45.7
1323.59,9.74,0.72,25.0,45.7
1324.67,9.76,0.71,25.0,45.6
1325.75,9.74,0.72,25.0,45.6
1326.83,9.77,0.71,25.0,45.6
1327.92,9.75,0.69,25.0,45.5
1329.0,9.75,0.72,25.0,45.5
1330.08,9.75,0.71,25.0,45.4
1331.16,9.74,0.71,25.0,45.4
1332.25,9.75,0.74,25.0,45.3
1333.32,9.78,0.73,25.0,45.3
1334.41,9.75,0.71,25.0,45.2
1335.49,9.74,0.72,25.0,45.2
1336.57,9.73,0.72,25.0,45.2
1337.66,9.75,0.72,25.0,45.1
1338.74,9.79,0.72,25.0,45.1
1339.82,9.75,0.72,25.0,45.0
1340.9,9.76,0.71,25.0,45.0
1341.98,9.76,0.72,25.0,44.9
1343.07,9.73,0.71,25.0,44.9
1344.15,9.76,0.75,25.0,44.8
1345.23,9.75,0.74,25.0,44.8
1346.31,9.75,0.73,25.0,44.8
1347.4,9.76,0.74,25.0,44.7
1348.48,9.72,0.74,25.0,44.7
1349.56,9.76,0.75,25.0,44.6
1350.64,9.75,0.73,25.0,44.6
1351.73,9.75,0.74,25.0,44.5
1352.81,9.75,0.72,25.0,44.5
1353.89,9.74,0.72,25.0,44.4
1354.97,9.73,0.74,25.0,44.4
1356.05,9.78,0.73,25.0,44.4
1357.13,9.74,0.73,25.0,44.3
1358.22,9.75,0.73,25.0,44.3
1359.3,9.76,0.73,25.0,44.2
1360.38,9.74,0.71,25.0,44.2
1361.46,9.76,0.73,25.0,44.1
1362.55,9.75,0.73,25.0,44.1
1363.63,9.74,0.72,25.0,44.0
1364.71,9.76,0.75,25.0,44.0
1365.79,9.72,0.73,25.0,44.0
1366.88,9.75,0.72,25.0,43.9
1367.96,9.72,0.74,25.0,43.9
1369.04,9.73,0.73,25.0,43.8
1370.12,9.77,0.72,25.0,43.8
1371.21,9.74,0.72,25.0,43.7
1372.29,9.73,0.75,25.0,43.7
1373.37,9.76,0.75,25.0,43.6
1374.45,9.76,0.75,25.0,43.6
1375.54,9.74,0.73,25.0,43.6
1376.62,9.75,0.73,25.0,43.5
1377.7,9.74,0.75,25.0,43.5
1378.78,9.72,0.73,25.0,43.4
1379.86,9.76,0.75,25.0,43.4
1380.94,9.72,0.72,25.0,43.3
1382.03,9.73,0.73,25.0,43.3
1383.11,9.72,0.73,25.0,43.2
1384.19,9.77,0.75,25.0,43.2
1385.27,9.74,0.73,25.0,43.2
1386.36,9.75,0.72,25.0,43.1
1387.44,9.74,0.73,25.0,43.1
1388.52,9.72,0.72,25.0,43.0
1389.6,9.73,0.73,25.0,43.0
1390.69,9.76,0.72,25.0,42.9
1391.77,9.74,0.75,25.0,42.9
1392.85,9.75,0.74,25.0,42.8
1393.93,9.73,0.73,25.0,42.8
1395.02,9.72,0.74,25.0,42.8
1396.1,9.75,0.72,25.0,42.7
1397.18,9.7,0.72,25.0,42.7
1398.26,9.75,0.74,25.0,42.6
1399.34,9.69,0.72,25.0,42.6
1400.43,9.71,0.72,25.0,42.5
1401.51,9.75,0.72,25.0,42.5
1402.59,9.73,0.72,25.0,42.4
1403.67,9.72,0.73,25.0,42.4
1404.75,9.72,0.72,25.0,42.4
1405.84,9.7,0.72,25.0,42.3
1406.92,9.72,0.71,25.0,42.3
1408.0,9.73,0.71,25.0,42.2
1409.08,9.72,0.73,25.0,42.2
1410.17,9.74,0.73,25.0,42.1
1411.25,9.72,0.72,25.0,42.1
1412.33,9.74,0.73,25.0,42.0
1413.41,9.7,0.72,25.0,42.0
1414.5,9.72,0.74,25.0,42.0
1415.58,9.71,0.73,25.0,41.9
1416.66,9.71,0.71,25.0,41.9
1417.74,9.71,0.73,25.0,41.8
1418.82,9.73,0.72,25.0,41.8
1419.91,9.73,0.72,25.0,41.7
1420.99,9.73,0.73,25.0,41.7
1422.07,9.71,0.73,25.0,41.6
1423.16,9.74,0.7,25.0,41.6
1424.24,9.71,0.72,25.0,41.6
1425.32,9.73,0.73,25.0,41.5
1426.4,9.73,0.75,25.0,41.5
1427.48,9.73,0.74,25.0,41.4
1428.56,9.71,0.72,25.0,41.4
1429.65,9.71,0.73,25.0,41.3
1430.73,9.67,0.7,25.0,41.3
1431.81,9.72,0.7,25.0,41.2
1432.89,9.7,0.7,25.0,41.2
1433.98,9.71,0.73,25.0,41.2
1435.06,9.71,0.72,25.0,41.1
1436.14,9.72,0.7,25.0,41.1
1437.22,9.71,0.73,25.0,41.0
1438.31,9.73,0.73,25.0,41.0
1439.39,9.72,0.7,25.0,40.9
1440.47,9.71,0.74,25.0,40.9
1441.55,9.72,0.71,25.0,40.8
1442.64,9.73,0.73,25.0,40.8
1443.72,9.72,0.72,25.0,40.8
1444.8,9.75,0.73,25.0,40.7
1445.88,9.74,0.72,25.0,40.7
1446.96,9.75,0.72,25.0,40.6
1448.05,9.73,0.73,25.0,40.6
1449.13,9.71,0.75,25.0,40.5
1450.21,9.73,0.74,25.0,40.5
1451.29,9.73,0.73,25.0,40.4
1452.38,9.74,0.73,25.0,40.4
1453.46,9.72,0.74,25.0,40.4
1454.54,9.67,0.74,25.0,40.3
1455.62,9.68,0.74,25.0,40.3
1456.7,9.72,0.71,25.0,40.2
1457.79,9.71,0.71,25.0,40.2
1458.87,9.7,0.73,25.0,40.1
1459.95,9.72,0.71,25.0,40.1
1461.03,9.71,0.69,25.0,40.0
1462.12,9.74,0.72,25.0,40.0
1463.2,9.72,0.72,25.0,40.0
1464.28,9.72,0.72,25.0,39.9
1465.36,9.71,0.73,25.0,39.9
1466.45,9.72,0.74,25.0,39.8
1467.53,9.7,0.73,25.0,39.8
1468.61,9.71,0.72,25.0,39.7
1469.69,9.73,0.75,25.0,39.7
1470.78,9.66,0.74,25.0,39.6
1471.85,9.7,0.7,25.0,39.6
1472.94,9.71,0.73,25.0,39.6
1474.02,9.71,0.73,25.0,39.5
1475.1,9.73,0.73,25.0,39.5
1476.19,9.71,0.74,25.0,39.4
1477.27,9.72,0.76,25.0,39.4
1478.35,9.71,0.72,25.0,39.3
1479.43,9.69,0.76,25.0,39.3
1480.51,9.68,0.71,25.0,39.2
1481.6,9.72,0.73,25.0,39.2
1482.68,9.7,0.73,25.0,39.2
1483.76,9.74,0.73,25.0,39.1
1484.84,9.66,0.76,25.0,39.1
1485.93,9.7,0.76,25.0,39.0
